model,metric,cluster_condition,mean_diff,p_value
neural_net,roc_auc,KMeans_Only,-0.018168759840441417,0.4375
neural_net,roc_auc,Hierarchical_Only,-0.0018128445588956321,1.0
neural_net,roc_auc,DBSCAN_Only,0.02452931514353085,0.3125
neural_net,roc_auc,KMeans+Hierarchical,-0.05833291255644146,0.125
neural_net,roc_auc,KMeans+DBSCAN,-0.007826209198029788,1.0
neural_net,roc_auc,Hierarchical+DBSCAN,0.010654265989139433,0.625
neural_net,roc_auc,All_Clusters,0.0015110518963268316,0.8125
svm,roc_auc,DBSCAN_Only,-0.002218090958193142,1.0
neural_net,accuracy,KMeans_Only,-0.05187811039448231,0.8125
neural_net,accuracy,Hierarchical_Only,0.016356803116761465,0.8125
neural_net,accuracy,DBSCAN_Only,0.1023389478176473,0.3125
neural_net,accuracy,KMeans+Hierarchical,-0.18992972143255393,0.0625
neural_net,accuracy,KMeans+DBSCAN,-0.031195836975750124,1.0
neural_net,accuracy,Hierarchical+DBSCAN,0.023521637676470863,0.625
neural_net,accuracy,All_Clusters,0.02522387956965566,1.0
svm,accuracy,DBSCAN_Only,6.883307291483121e-06,1.0
neural_net,precision,KMeans_Only,0.0009392112928554006,0.4375
neural_net,precision,Hierarchical_Only,-0.00028402576374731954,0.8125
neural_net,precision,DBSCAN_Only,0.0016554912028895006,0.3125
neural_net,precision,KMeans+Hierarchical,-0.0009375298863396797,0.0625
neural_net,precision,KMeans+DBSCAN,0.0013076088439880605,0.4375
neural_net,precision,Hierarchical+DBSCAN,0.00014140293919798035,0.625
neural_net,precision,All_Clusters,0.00131911769699864,0.625
svm,precision,DBSCAN_Only,-2.8725345391999676e-06,1.0
naive_bayes,precision,KMeans_Only,9.670018939885935e-09,1.0
naive_bayes,precision,Hierarchical_Only,-2.3400006940151388e-08,0.5
naive_bayes,precision,DBSCAN_Only,-2.5206931739824023e-08,0.625
naive_bayes,precision,KMeans+Hierarchical,-1.4575377779929913e-08,0.625
naive_bayes,precision,KMeans+DBSCAN,-4.683097573989804e-08,0.125
naive_bayes,precision,Hierarchical+DBSCAN,1.9480710619938432e-08,0.5
naive_bayes,precision,All_Clusters,2.0156402079753513e-08,0.5
neural_net,recall,KMeans_Only,0.015555555555555545,0.875
neural_net,recall,Hierarchical_Only,-0.02000000000000013,0.625
neural_net,recall,DBSCAN_Only,-0.053333333333333455,0.3125
neural_net,recall,KMeans+Hierarchical,0.07333333333333325,0.0625
neural_net,recall,KMeans+DBSCAN,0.015555555555555545,1.0
neural_net,recall,Hierarchical+DBSCAN,-0.0022222222222223476,0.875
neural_net,recall,All_Clusters,-0.022222222222222254,1.0
svm,recall,DBSCAN_Only,-0.004444444444444473,1.0
neural_net,f1,KMeans_Only,0.0018376315254815005,0.4375
neural_net,f1,Hierarchical_Only,-0.0005670563776206602,0.8125
neural_net,f1,DBSCAN_Only,0.0032768609322994403,0.3125
neural_net,f1,KMeans+Hierarchical,-0.0018599332135318001,0.0625
neural_net,f1,KMeans+DBSCAN,0.0025703044527449004,0.4375
neural_net,f1,Hierarchical+DBSCAN,0.00028267863264037994,0.625
neural_net,f1,All_Clusters,0.0026072831080236804,0.625
svm,f1,DBSCAN_Only,-5.741358344799985e-06,1.0
naive_bayes,f1,KMeans_Only,1.924615813985245e-08,1.0
naive_bayes,f1,Hierarchical_Only,-4.654674802019587e-08,0.5
naive_bayes,f1,DBSCAN_Only,-5.0204128920067204e-08,0.625
naive_bayes,f1,KMeans+Hierarchical,-2.8964035560588575e-08,0.625
naive_bayes,f1,KMeans+DBSCAN,-9.314266003965233e-08,0.125
naive_bayes,f1,Hierarchical+DBSCAN,3.8772324300381106e-08,0.5
naive_bayes,f1,All_Clusters,4.011044011991913e-08,0.5
